哀求,https://cidian.911cha.com/NGNv.html,https://www.911cha.com/bds.php?url=YQk2QmMXYxNmFTAKMxxjTGIBN15hBTlQYQBmCDcZMwo3BjkIZQYxWTVUOBY5WjlWZAkyHWIsZiEwfjZAZEoxWWEVNltjDw%3D%3D 0:0 Uncaught ReferenceError: ok is not defined,2019-03-15 10:04:42
挨著,http://otani-hombyo.hongwanji.or.jp/html/1704.html,http://otani-hombyo.hongwanji.or.jp/images/close.png - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:05:19
安全,http://www.safehoo.com/Live/,http://www.safehoo.com/a/lm/lm.js 0:0 Uncaught SyntaxError: Unexpected token <,2019-03-15 10:07:17
按照,http://www.iciba.com/%e6%8c%89%e7%85%a7,http://js.idgdmg.com.cn/s/yh97j47g8fmox453.js - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:09:00
巴望,https://travel.ettoday.net/article/435022.htm,javascript 0:11 Uncaught TypeError: googletag.defineSlot is not a function,2019-03-15 10:10:07
白費,http://chengyu.game2.tw/archives/9675,http://chengyu.game2.tw/archives/9675 93:0 Uncaught ReferenceError: adone is not defined,2019-03-15 10:10:19
白天,https://www.bella.tw/articles/travel&foodies/16221,https://ad.rfp.fout.jp/ad?adspot_id=Mjg3OjM3NQ&ad_type=5&sequence=0&cachebuster=8946211248974&sdk_version=1.2.4&media_url=https%3A%2F%2Fwww.bella.tw%2Farticles%2Ftravel%26foodies%2F16221 - Failed to load resource: the server responded with a status of 400 (),2019-03-15 10:11:17
板櫈,https://zhidao.baidu.com/question/242447331.html,"https://zhidao.baidu.com/question/242447331.html - Mixed Content: The page at 'https://zhidao.baidu.com/question/242447331.html' was loaded over HTTPS, but requested an insecure script 'http://www.baidu.com/search/error.html'. This request has been blocked; the content must be served over HTTPS.",2019-03-15 10:13:30
甭提,http://mrpivoine.pixnet.net/blog/post/39169489-%e7%94%ad%e6%8f%90,http://api.pixnet.cc/navbar/v1/member_info - Failed to load resource: the server responded with a status of 401 (Authorization Required),2019-03-15 10:14:19
扮演,http://www.yxdown.com/danji/jiaose/,http://api.share.baidu.com/s.gif?l=http://www.yxdown.com/danji/jiaose/ - Failed to load resource: net::ERR_EMPTY_RESPONSE,2019-03-15 10:15:00
榜樣,http://www.dailyenglishquote.com/tag/%E6%A6%9C%E6%A8%A3/,https://c0.wp.com/c/5.1.1/static/lib/css/dist/block-library/style.min.css - Failed to load resource: the server responded with a status of 404 (),2019-03-15 10:15:35
飽滿,http://bookmarks.tw/dictionary/archives/891,http://bookmarks.tw/favicon.ico - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:18:13
報案,https://www.npa.gov.tw/NPAGip/wSite/ct?xItem=81033&ctNode=12622,https://www.npa.gov.tw/NPAGip/wSite/xslGip/style1/css/user1/animate.css - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:18:54
暴風雨,http://gametsg.techbang.com/poe/index.php?view=item&item=223071,http://gametsg.techbang.com/poe/index.php?view=item&item=223071 997:25 Uncaught SyntaxError: Unexpected token ],2019-03-15 10:19:27
悲哀,https://pedia.cloud.edu.tw/Entry/Detail/?title=%E6%82%B2%E5%93%80,https://pedia.cloud.edu.tw/Content/fonts/glyphicons-halflings-regular.woff - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:19:58
北京,http://www.beijing.gov.cn/,http://pucha.kaipuyun.cn/exposure/jiucuo.js - Failed to load resource: the server responded with a status of 405 (Method Not Allowed),2019-03-15 10:20:50
本領,https://dictionary.goo.ne.jp/jn/206525/meaning/m0u/,https://adcdn.goo.ne.jp/images/0common/prebid.js 5:1835 Uncaught TypeError: Cannot read property 'body' of undefined,2019-03-15 10:21:17
貝殼,https://shop.garena.tw/,https://shop.garena.tw/new/assets/vendor.092a381e2b197f923b00.js 0:552 Uncaught Error: Loading chunk 0 failed.,2019-03-15 10:22:08
逼近,http://www.360kan.com/m/gKfnYULASHX3Sx.html,https://cm.dmp.360.cn/HUID.SET?_=1552641818450 - Failed to load resource: net::ERR_SSL_VERSION_INTERFERENCE,2019-03-15 10:24:02
變化,http://www.learnjapanese.aiyori.org/beginner4.html,http://www.learnjapanese.aiyori.org/idlogger/script/writeToLog.js - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:26:55
辨認,http://www.angle.com.tw/accounting/practice/post.aspx?ipost=2506,http://www.angle.com.tw/accounting/fontawesome-free-5.0.6/web-fonts-with-css/webfonts/fa-brands-400.woff2 - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:27:12
表示,http://www.geocities.jp/erigongongon/windowskihon6.html,http://www.geocities.jp/erigongongon/mpyajirusi1.JPG - Failed to load resource: the server responded with a status of 404 (Not Found),2019-03-15 10:28:13
冰雹,http://baike.so.com/doc/4028853-4226450.html,"https://baike.so.com/doc/4028853-4226450.html - Mixed Content: The page at 'https://baike.so.com/doc/4028853-4226450.html' was loaded over HTTPS, but requested an insecure script 'http://api.map.so.com/js/?key=%E6%82%A8%E7%9A%84%E5%AF%86%E9%92%A5&callback=__initialize'. This request has been blocked; the content must be served over HTTPS.",2019-03-15 10:30:02
撥打,http://alanntu111.pixnet.net/blog/post/318255540-%e5%a6%82%e4%bd%95%e6%92%a5%e6%89%93%e5%9c%8b%e9%9a%9b%e9%9b%bb%e8%a9%b1,skypec2c://r/204 - Failed to load resource: net::ERR_UNKNOWN_URL_SCHEME,2019-03-15 10:31:07
剝削,http://gender.nhes.edu.tw/%E6%80%A7%E5%89%9D%E5%89%8A%E9%98%B2%E6%B2%BB.html,http://img.scupio.com/js/ad.js 0:1498 Uncaught TypeError: Cannot read property 'id' of undefined,2019-03-15 10:31:23
脖子,https://www.zhihu.com/question/29620130,https://www.zhihu.com/question/29620130 0:0 Uncaught (in promise),2019-03-15 10:32:04
猜中,http://sports.sina.com.cn/,"http://track.ra.icast.cn/icast3/?cid=51687&r=0114&pos_id=7549&ad_id=252418&mp=1&imp=1,1 - Failed to load resource: net::ERR_SOCKET_NOT_CONNECTED",2019-03-15 10:34:12
